item_id,location_id,week_ending,qty_sold,on_hand,forecast_qty,category,shelf_life_days,launch_date,obsolete_date
SKU001,BLR_WH,2022-12-09,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2022-12-16,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2022-12-23,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2022-12-30,0,316,1,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-01-06,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-01-13,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-01-20,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-01-27,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-02-03,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-02-10,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-02-17,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-02-24,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-03-03,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-03-10,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-03-17,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-03-24,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-03-31,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-04-07,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-04-14,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-04-21,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-04-28,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-05-05,0,316,0,Declining,365,2023-08-16,2025-09-14
SKU001,BLR_WH,2023-05-12,0,316,0,Declining,365,2023-08-16,2025-09-14
