po_id,order_week,expected_week,item_id,location_id,supplier_id,qty_ordered
PO0000001,2024-01-05,2024-01-25,SKU001,BLR_WH,SUP01,109
PO0000002,2024-01-12,2024-01-31,SKU001,BLR_WH,SUP01,123
PO0000003,2024-01-19,2024-02-09,SKU001,BLR_WH,SUP01,139
PO0000004,2024-06-28,2024-07-18,SKU001,BLR_WH,SUP04,101
PO0000005,2024-07-05,2024-07-10,SKU001,BLR_WH,SUP02,114
PO0000006,2024-12-13,2025-01-04,SKU001,BLR_WH,SUP01,99
PO0000007,2024-12-20,2025-01-19,SKU001,BLR_WH,SUP01,107
PO0000008,2024-12-27,2025-01-26,SKU001,BLR_WH,SUP04,114
PO0000009,2025-01-03,2025-01-10,SKU001,BLR_WH,SUP02,121
PO0000010,2023-09-29,2023-10-21,SKU001,MAA_WH,SUP01,102
PO0000011,2023-10-06,2023-10-28,SKU001,MAA_WH,SUP04,124
PO0000012,2023-10-13,2023-11-10,SKU001,MAA_WH,SUP01,151
PO0000013,2023-10-20,2023-10-29,SKU001,MAA_WH,SUP02,161
PO0000014,2024-03-01,2024-03-22,SKU001,MAA_WH,SUP01,100
PO0000015,2024-03-08,2024-03-29,SKU001,MAA_WH,SUP01,130
PO0000016,2024-03-15,2024-04-13,SKU001,MAA_WH,SUP01,159
PO0000017,2024-06-07,2024-06-26,SKU001,MAA_WH,SUP01,93
PO0000018,2024-06-14,2024-06-21,SKU001,MAA_WH,SUP02,113
PO0000019,2024-08-23,2024-09-04,SKU001,MAA_WH,SUP04,98
PO0000020,2024-08-30,2024-09-14,SKU001,MAA_WH,SUP02,116
PO0000021,2024-11-22,2024-12-14,SKU001,MAA_WH,SUP01,94
PO0000022,2024-11-29,2024-12-06,SKU001,MAA_WH,SUP02,106
PO0000023,2025-02-21,2025-03-16,SKU001,MAA_WH,SUP04,103
PO0000024,2025-02-28,2025-03-12,SKU001,MAA_WH,SUP04,117
PO0000025,2025-03-07,2025-04-02,SKU001,MAA_WH,SUP01,134
PO0000026,2025-08-08,2025-09-03,SKU001,MAA_WH,SUP01,95
PO0000027,2025-08-15,2025-09-03,SKU001,MAA_WH,SUP04,107
PO0000028,2025-08-22,2025-08-30,SKU001,MAA_WH,SUP02,113
PO0000029,2025-08-29,2025-09-14,SKU001,MAA_WH,SUP02,124
PO0000030,2023-10-13,2023-10-20,SKU001,NCR_WH,SUP02,115
PO0000031,2023-11-10,2023-12-01,SKU001,NCR_WH,SUP01,93
PO0000032,2023-11-17,2023-12-16,SKU001,NCR_WH,SUP01,122
PO0000033,2023-11-24,2023-12-17,SKU001,NCR_WH,SUP01,148
PO0000034,2023-12-08,2023-12-15,SKU001,NCR_WH,SUP02,112
PO0000035,2024-03-01,2024-03-22,SKU001,NCR_WH,SUP01,99
PO0000036,2024-03-08,2024-03-31,SKU001,NCR_WH,SUP01,137
PO0000037,2024-03-15,2024-03-29,SKU001,NCR_WH,SUP02,161
PO0000038,2024-06-07,2024-06-16,SKU001,NCR_WH,SUP02,117
PO0000039,2024-06-14,2024-07-05,SKU001,NCR_WH,SUP04,148
PO0000040,2024-08-23,2024-09-01,SKU001,NCR_WH,SUP02,98
PO0000041,2024-08-30,2024-09-27,SKU001,NCR_WH,SUP01,117
PO0000042,2024-11-15,2024-12-07,SKU001,NCR_WH,SUP01,95
PO0000043,2024-11-22,2024-12-15,SKU001,NCR_WH,SUP04,117
PO0000044,2024-11-29,2024-12-06,SKU001,NCR_WH,SUP02,138
PO0000045,2025-03-28,2025-04-25,SKU001,NCR_WH,SUP01,109
PO0000046,2025-04-04,2025-04-20,SKU001,NCR_WH,SUP02,130
PO0000047,2025-04-11,2025-04-26,SKU001,NCR_WH,SUP02,147
PO0000048,2025-04-18,2025-04-30,SKU001,NCR_WH,SUP02,161
PO0000049,2024-03-29,2024-04-05,SKU001,BOM_WH,SUP02,100
PO0000050,2024-05-31,2024-06-06,SKU001,BOM_WH,SUP02,96
PO0000051,2024-08-30,2024-09-28,SKU001,BOM_WH,SUP01,93
PO0000052,2024-09-06,2024-09-26,SKU001,BOM_WH,SUP04,101
PO0000053,2024-09-13,2024-10-03,SKU001,BOM_WH,SUP01,106
PO0000054,2024-09-20,2024-10-11,SKU001,BOM_WH,SUP01,113
PO0000055,2022-12-09,2022-12-18,SKU002,BLR_WH,SUP09,268
PO0000056,2022-12-16,2022-12-23,SKU002,BLR_WH,SUP09,268
PO0000057,2025-10-24,2025-11-09,SKU002,BLR_WH,SUP10,221
PO0000058,2025-10-31,2025-11-20,SKU002,BLR_WH,SUP10,225
PO0000059,2025-11-07,2025-11-27,SKU002,BLR_WH,SUP10,230
PO0000060,2022-12-09,2022-12-24,SKU002,MAA_WH,SUP10,252
PO0000061,2022-12-16,2022-12-31,SKU002,MAA_WH,SUP10,252
PO0000062,2022-12-23,2023-01-05,SKU002,MAA_WH,SUP10,252
PO0000063,2025-07-04,2025-07-27,SKU002,MAA_WH,SUP10,220
PO0000064,2025-07-11,2025-07-26,SKU002,MAA_WH,SUP10,233
PO0000065,2025-07-18,2025-08-03,SKU002,MAA_WH,SUP10,243
PO0000066,2025-07-25,2025-08-08,SKU002,MAA_WH,SUP10,255
PO0000067,2024-10-11,2024-10-31,SKU002,NCR_WH,SUP10,232
PO0000068,2024-10-18,2024-11-03,SKU002,NCR_WH,SUP10,255
PO0000069,2024-10-25,2024-11-16,SKU002,NCR_WH,SUP10,272
