receipt_id,po_id,receipt_week,item_id,location_id,supplier_id,qty_received
RCPT0000001,PO0000001,2024-01-26,SKU001,BLR_WH,SUP01,109
RCPT0000002,PO0000002,2024-02-02,SKU001,BLR_WH,SUP01,123
RCPT0000003,PO0000003,2024-02-09,SKU001,BLR_WH,SUP01,139
RCPT0000004,PO0000005,2024-07-12,SKU001,BLR_WH,SUP02,114
RCPT0000005,PO0000004,2024-07-19,SKU001,BLR_WH,SUP04,101
RCPT0000006,PO0000006,2025-01-10,SKU001,BLR_WH,SUP01,99
RCPT0000007,PO0000009,2025-01-10,SKU001,BLR_WH,SUP02,121
RCPT0000008,PO0000007,2025-01-24,SKU001,BLR_WH,SUP01,107
RCPT0000009,PO0000008,2025-01-31,SKU001,BLR_WH,SUP04,114
RCPT0000010,PO0000010,2023-10-27,SKU001,MAA_WH,SUP01,102
RCPT0000011,PO0000011,2023-11-03,SKU001,MAA_WH,SUP04,124
RCPT0000012,PO0000013,2023-11-03,SKU001,MAA_WH,SUP02,161
RCPT0000013,PO0000012,2023-11-10,SKU001,MAA_WH,SUP01,151
RCPT0000014,PO0000014,2024-03-22,SKU001,MAA_WH,SUP01,100
RCPT0000015,PO0000015,2024-03-29,SKU001,MAA_WH,SUP01,130
RCPT0000016,PO0000016,2024-04-19,SKU001,MAA_WH,SUP01,159
RCPT0000017,PO0000018,2024-06-21,SKU001,MAA_WH,SUP02,113
RCPT0000018,PO0000017,2024-06-28,SKU001,MAA_WH,SUP01,93
RCPT0000019,PO0000019,2024-09-06,SKU001,MAA_WH,SUP04,98
RCPT0000020,PO0000020,2024-09-20,SKU001,MAA_WH,SUP02,116
RCPT0000021,PO0000022,2024-12-06,SKU001,MAA_WH,SUP02,106
RCPT0000022,PO0000021,2024-12-20,SKU001,MAA_WH,SUP01,94
RCPT0000023,PO0000024,2025-03-14,SKU001,MAA_WH,SUP04,117
RCPT0000024,PO0000023,2025-03-21,SKU001,MAA_WH,SUP04,103
RCPT0000025,PO0000025,2025-04-04,SKU001,MAA_WH,SUP01,134
RCPT0000026,PO0000026,2025-09-05,SKU001,MAA_WH,SUP01,95
RCPT0000027,PO0000027,2025-09-05,SKU001,MAA_WH,SUP04,107
RCPT0000028,PO0000028,2025-09-05,SKU001,MAA_WH,SUP02,113
RCPT0000029,PO0000029,2025-09-19,SKU001,MAA_WH,SUP02,124
RCPT0000030,PO0000030,2023-10-20,SKU001,NCR_WH,SUP02,115
RCPT0000031,PO0000031,2023-12-01,SKU001,NCR_WH,SUP01,93
RCPT0000032,PO0000034,2023-12-15,SKU001,NCR_WH,SUP02,112
RCPT0000033,PO0000032,2023-12-22,SKU001,NCR_WH,SUP01,122
RCPT0000034,PO0000033,2023-12-22,SKU001,NCR_WH,SUP01,148
RCPT0000035,PO0000035,2024-03-22,SKU001,NCR_WH,SUP01,99
RCPT0000036,PO0000037,2024-03-29,SKU001,NCR_WH,SUP02,161
RCPT0000037,PO0000036,2024-04-05,SKU001,NCR_WH,SUP01,137
RCPT0000038,PO0000038,2024-06-21,SKU001,NCR_WH,SUP02,117
RCPT0000039,PO0000039,2024-07-05,SKU001,NCR_WH,SUP04,148
RCPT0000040,PO0000040,2024-09-06,SKU001,NCR_WH,SUP02,98
RCPT0000041,PO0000041,2024-09-27,SKU001,NCR_WH,SUP01,117
RCPT0000042,PO0000044,2024-12-06,SKU001,NCR_WH,SUP02,138
