alert_id,item_id,location_id,priority,category,title,description,risk_score,created_at,expires_at,acknowledged,resolved,metadata,recommendations
ALT-20251212113321-00001,SKU031,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU031,"Demand for SKU031 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 9, Baseline: 0.",100.0,2025-12-12T11:33:21.603825,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 9.25, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00002,SKU051,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU051,"Demand for SKU051 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 46, Baseline: 0.",100.0,2025-12-12T11:33:21.603889,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 45.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00003,SKU026,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU026,"Demand for SKU026 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 46, Baseline: 0.",100.0,2025-12-12T11:33:21.603931,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 46.25, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00004,SKU042,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU042,"Demand for SKU042 at BOM_WH has increased by 100.0% compared to baseline. Current weekly demand: 30, Baseline: 0.",100.0,2025-12-12T11:33:21.603971,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 30.25, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00005,SKU044,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU044,"Demand for SKU044 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 4, Baseline: 0.",100.0,2025-12-12T11:33:21.604009,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 4.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00006,SKU044,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU044,"Demand for SKU044 at MAA_WH has increased by 100.0% compared to baseline. Current weekly demand: 5, Baseline: 0.",100.0,2025-12-12T11:33:21.604046,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 5.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00007,SKU044,NCR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU044,"Demand for SKU044 at NCR_WH has increased by 100.0% compared to baseline. Current weekly demand: 2, Baseline: 0.",100.0,2025-12-12T11:33:21.604082,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 2.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00008,SKU044,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU044,"Demand for SKU044 at BOM_WH has increased by 100.0% compared to baseline. Current weekly demand: 1, Baseline: 0.",100.0,2025-12-12T11:33:21.604118,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 1.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00009,SKU045,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU045,"Demand for SKU045 at BLR_WH has increased by 800.0% compared to baseline. Current weekly demand: 50, Baseline: 6.",100.0,2025-12-12T11:33:21.604154,,False,False,"{'shift_type': 'trend_change', 'shift_magnitude': 800.0, 'shift_direction': 'increase', 'baseline_demand': 5.5, 'current_demand': 49.5, 'cusum_signal': False, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00010,SKU045,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU045,"Demand for SKU045 at MAA_WH has increased by 728.0% compared to baseline. Current weekly demand: 34, Baseline: 4.",100.0,2025-12-12T11:33:21.604191,,False,False,"{'shift_type': None, 'shift_magnitude': 728.0, 'shift_direction': 'increase', 'baseline_demand': 4.17, 'current_demand': 34.5, 'cusum_signal': False, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00011,SKU045,NCR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU045,"Demand for SKU045 at NCR_WH has increased by 713.2% compared to baseline. Current weekly demand: 26, Baseline: 3.",100.0,2025-12-12T11:33:21.604227,,False,False,"{'shift_type': 'trend_change', 'shift_magnitude': 713.16, 'shift_direction': 'increase', 'baseline_demand': 3.17, 'current_demand': 25.75, 'cusum_signal': False, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00012,SKU023,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU023,"Demand for SKU023 at BOM_WH has increased by 100.0% compared to baseline. Current weekly demand: 18, Baseline: 0.",100.0,2025-12-12T11:33:21.604263,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 17.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00013,SKU045,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU045,"Demand for SKU045 at BOM_WH has increased by 730.8% compared to baseline. Current weekly demand: 18, Baseline: 2.",100.0,2025-12-12T11:33:21.604299,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 730.77, 'shift_direction': 'increase', 'baseline_demand': 2.17, 'current_demand': 18.0, 'cusum_signal': True, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00014,SKU046,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU046,"Demand for SKU046 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 33, Baseline: 0.",100.0,2025-12-12T11:33:21.604335,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 32.75, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00015,SKU046,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU046,"Demand for SKU046 at MAA_WH has increased by 100.0% compared to baseline. Current weekly demand: 11, Baseline: 0.",100.0,2025-12-12T11:33:21.604370,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 11.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00016,SKU046,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU046,"Demand for SKU046 at BOM_WH has increased by 100.0% compared to baseline. Current weekly demand: 18, Baseline: 0.",100.0,2025-12-12T11:33:21.604406,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 18.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00017,SKU048,BLR_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU048,"Demand for SKU048 at BLR_WH has decreased by 66.1% compared to baseline. Current weekly demand: 2, Baseline: 5.",100.0,2025-12-12T11:33:21.604443,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -66.13, 'shift_direction': 'decrease', 'baseline_demand': 5.17, 'current_demand': 1.75, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00018,SKU048,MAA_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU048,"Demand for SKU048 at MAA_WH has decreased by 67.7% compared to baseline. Current weekly demand: 6, Baseline: 17.",100.0,2025-12-12T11:33:21.604479,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -67.65, 'shift_direction': 'decrease', 'baseline_demand': 17.0, 'current_demand': 5.5, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00019,SKU048,NCR_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU048,"Demand for SKU048 at NCR_WH has decreased by 62.5% compared to baseline. Current weekly demand: 4, Baseline: 12.",100.0,2025-12-12T11:33:21.604516,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -62.5, 'shift_direction': 'decrease', 'baseline_demand': 12.0, 'current_demand': 4.5, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00020,SKU020,BOM_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU020,"Demand for SKU020 at BOM_WH has decreased by 62.5% compared to baseline. Current weekly demand: 4, Baseline: 10.",100.0,2025-12-12T11:33:21.604553,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -62.5, 'shift_direction': 'decrease', 'baseline_demand': 10.0, 'current_demand': 3.75, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00021,SKU020,NCR_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU020,"Demand for SKU020 at NCR_WH has decreased by 62.9% compared to baseline. Current weekly demand: 3, Baseline: 9.",100.0,2025-12-12T11:33:21.604588,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -62.86, 'shift_direction': 'decrease', 'baseline_demand': 8.75, 'current_demand': 3.25, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00022,SKU020,MAA_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU020,"Demand for SKU020 at MAA_WH has decreased by 61.6% compared to baseline. Current weekly demand: 7, Baseline: 18.",100.0,2025-12-12T11:33:21.604623,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -61.64, 'shift_direction': 'decrease', 'baseline_demand': 18.25, 'current_demand': 7.0, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00023,SKU020,BLR_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU020,"Demand for SKU020 at BLR_WH has decreased by 61.9% compared to baseline. Current weekly demand: 6, Baseline: 14.",100.0,2025-12-12T11:33:21.604659,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -61.85, 'shift_direction': 'decrease', 'baseline_demand': 14.42, 'current_demand': 5.5, 'cusum_signal': True, 'ma_crossover_signal': True}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00024,SKU019,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU019,"Demand for SKU019 at BOM_WH has increased by 100.0% compared to baseline. Current weekly demand: 35, Baseline: 0.",100.0,2025-12-12T11:33:21.604695,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 35.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00025,SKU019,NCR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU019,"Demand for SKU019 at NCR_WH has increased by 100.0% compared to baseline. Current weekly demand: 16, Baseline: 0.",100.0,2025-12-12T11:33:21.604730,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 16.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00026,SKU019,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU019,"Demand for SKU019 at MAA_WH has increased by 100.0% compared to baseline. Current weekly demand: 18, Baseline: 0.",100.0,2025-12-12T11:33:21.604766,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 17.75, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00027,SKU019,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU019,"Demand for SKU019 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 43, Baseline: 0.",100.0,2025-12-12T11:33:21.604801,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 42.75, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00028,SKU036,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU036,"Demand for SKU036 at BOM_WH has increased by 251.7% compared to baseline. Current weekly demand: 68, Baseline: 19.",100.0,2025-12-12T11:33:21.604836,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 251.72, 'shift_direction': 'increase', 'baseline_demand': 19.33, 'current_demand': 68.0, 'cusum_signal': True, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00029,SKU018,NCR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU018,"Demand for SKU018 at NCR_WH has increased by 100.0% compared to baseline. Current weekly demand: 11, Baseline: 0.",100.0,2025-12-12T11:33:21.604871,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 11.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00030,SKU018,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU018,"Demand for SKU018 at MAA_WH has increased by 100.0% compared to baseline. Current weekly demand: 48, Baseline: 0.",100.0,2025-12-12T11:33:21.604906,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 47.75, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00031,SKU018,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU018,"Demand for SKU018 at BLR_WH has increased by 100.0% compared to baseline. Current weekly demand: 42, Baseline: 0.",100.0,2025-12-12T11:33:21.604941,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 41.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00032,SKU026,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU026,"Demand for SKU026 at MAA_WH has increased by 100.0% compared to baseline. Current weekly demand: 15, Baseline: 0.",100.0,2025-12-12T11:33:21.604976,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 15.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00033,SKU026,NCR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU026,"Demand for SKU026 at NCR_WH has increased by 100.0% compared to baseline. Current weekly demand: 42, Baseline: 0.",100.0,2025-12-12T11:33:21.605015,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 42.5, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00034,SKU026,BOM_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU026,"Demand for SKU026 at BOM_WH has increased by 100.0% compared to baseline. Current weekly demand: 8, Baseline: 0.",100.0,2025-12-12T11:33:21.605050,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 100.0, 'shift_direction': 'increase', 'baseline_demand': 0.0, 'current_demand': 7.75, 'cusum_signal': True, 'ma_crossover_signal': False}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00035,SKU038,MAA_WH,P1_CRITICAL,demand_shift,Demand Drop Detected - SKU038,"Demand for SKU038 at MAA_WH has decreased by 100.0% compared to baseline. Current weekly demand: 0, Baseline: 2.",100.0,2025-12-12T11:33:21.605086,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': -100.0, 'shift_direction': 'decrease', 'baseline_demand': 2.08, 'current_demand': 0.0, 'cusum_signal': True, 'ma_crossover_signal': False}",Review open purchase orders for reduction; Reduce future order quantities; Investigate root cause of demand decline
ALT-20251212113321-00036,SKU036,MAA_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU036,"Demand for SKU036 at MAA_WH has increased by 218.8% compared to baseline. Current weekly demand: 17, Baseline: 5.",100.0,2025-12-12T11:33:21.605121,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 218.75, 'shift_direction': 'increase', 'baseline_demand': 5.33, 'current_demand': 17.0, 'cusum_signal': True, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
ALT-20251212113321-00037,SKU036,BLR_WH,P1_CRITICAL,demand_shift,Demand Surge Detected - SKU036,"Demand for SKU036 at BLR_WH has increased by 208.0% compared to baseline. Current weekly demand: 19, Baseline: 6.",100.0,2025-12-12T11:33:21.605156,,False,False,"{'shift_type': 'sustained', 'shift_magnitude': 208.0, 'shift_direction': 'increase', 'baseline_demand': 6.25, 'current_demand': 19.25, 'cusum_signal': True, 'ma_crossover_signal': True}",Review and increase safety stock levels; Consider expediting pending orders; Evaluate capacity for higher demand
